"#","Call Id","from_user_first_name","from_user_last_name","from_user_gender","from_user_date_of_join","from_user_date_of_birth","from_user_user_id","from_user_company_name","from_user_role_name","from_user_role_display_name","purpose_name","purpose_description","language","reason","start_time","end_time","band_width","resolution","is_called_failed","feedback","to_user_first_name","to_user_last_name","to_user_gender","to_user_date_of_join","to_user_date_of_birth","to_user_user_id","to_user_company_name","to_user_role_name","to_user_role_display_name","status"
"1","46","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","connect","Connect (FGD/1:1)","English","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
"2","45","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","medical_emergency","Medical Emergency","English","","11/05/2021 08:55:23am","01/01/1970 12:00:00am","","","0","","Rudresh","Dave","1","21/05/2015","02/04/1991","3","SIGNABLE PVT LTD","supplier_admin","Supplier Admin","Operated at Accepted"
"3","44","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","process_related","Process Related","English","","11/05/2021 08:42:57am","11/05/2021 08:52:54am","","","0","","Nikul","Patel","1","15/06/2020","12/12/1957","1","SIGNABLE PVT LTD","supplier_admin","Supplier Admin","Terminated"
"4","43","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","process_related","Process Related","English","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
"5","42","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","performance_feedback","Performance Feedback","English","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
"6","41","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","hr_queries","HR Queries","English","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
"7","40","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","medical_emergency","Medical Emergency","Hindi","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
"8","39","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","medical_emergency","Medical Emergency","English","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
"9","38","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","behavioral_feedback","Behavioral Feedback","English","","10/05/2021 02:51:46pm","01/01/1970 12:00:00am","","","0","","Rudresh","Dave","1","21/05/2015","02/04/1991","3","SIGNABLE PVT LTD","supplier_admin","Supplier Admin","Operated at Accepted"
"10","37","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","others","OTHERS","English","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
"11","36","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","medical_emergency","Medical Emergency","English","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
"12","35","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","medical_emergency","Medical Emergency","English","","09/05/2021 08:31:11am","10/05/2021 09:21:17am","","","0","","Nikul","Patel","1","15/06/2020","12/12/1957","1","SIGNABLE PVT LTD","supplier_admin","Supplier Admin","Terminated"
"13","34","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","performance_feedback","Performance Feedback","English","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
"14","33","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","behavioral_feedback","Behavioral Feedback","Hindi","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
"15","32","Ankit","Bokare","1","21/05/2015","02/04/1991","2","AMAZON INDIA","company_admin","Company Admin","behavioral_feedback","Behavioral Feedback","Hindi","","01/01/1970 12:00:00am","01/01/1970 12:00:00am","","","","","","","","01/01/1970","01/01/1970","","","","",""
